ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS603NI0001","Count","PERSONS","All usual residents: Aged 16-74 years (Females)"
"KS603NI0002","Count","PERSONS","Economically active: Employee: Part-time: Aged 16-74 years (Females)"
"KS603NI0003","Count","PERSONS","Economically active: Employee: Full-time: Aged 16-74 years (Females)"
"KS603NI0004","Count","PERSONS","Economically active: Self-employed: Aged 16-74 years (Females)"
"KS603NI0005","Count","PERSONS","Economically active: Unemployed: Aged 16-74 years (Females)"
"KS603NI0006","Count","PERSONS","Economically active: Full-time student: Aged 16-74 years (Females)"
"KS603NI0007","Count","PERSONS","Economically inactive: Retired: Aged 16-74 years (Females)"
"KS603NI0008","Count","PERSONS","Economically inactive: Student (including full-time students): Aged 16-74 years (Females)"
"KS603NI0009","Count","PERSONS","Economically inactive: Looking after home or family: Aged 16-74 years (Females)"
"KS603NI0010","Count","PERSONS","Economically inactive: Long-term sick or disabled: Aged 16-74 years (Females)"
"KS603NI0011","Count","PERSONS","Economically inactive: Other: Aged 16-74 years (Females)"
"KS603NI0012","Count","PERSONS","Carried out voluntary work: Aged 16-74 years (Females)"
"KS603NI0013","Count","PERSONS","Unemployed: Aged 16-24 years (Females)"
"KS603NI0014","Count","PERSONS","Unemployed: Aged 50-74 years (Females)"
"KS603NI0015","Count","PERSONS","Unemployed: Never worked: Aged 16-74 years (Females)"
"KS603NI0016","Count","PERSONS","Long-term unemployed: Aged 16-74 years (Females)"
"KS603NI0017","Percentage","PERSONS","Economically active: Employee: Part-time: Aged 16-74 years (Females)"
"KS603NI0018","Percentage","PERSONS","Economically active: Employee: Full-time: Aged 16-74 years (Females)"
"KS603NI0019","Percentage","PERSONS","Economically active: Self-employed: Aged 16-74 years (Females)"
"KS603NI0020","Percentage","PERSONS","Economically active: Unemployed: Aged 16-74 years (Females)"
"KS603NI0021","Percentage","PERSONS","Economically active: Full-time student: Aged 16-74 years (Females)"
"KS603NI0022","Percentage","PERSONS","Economically inactive: Retired: Aged 16-74 years (Females)"
"KS603NI0023","Percentage","PERSONS","Economically inactive: Student (including full-time students): Aged 16-74 years (Females)"
"KS603NI0024","Percentage","PERSONS","Economically inactive: Looking after home or family: Aged 16-74 years (Females)"
"KS603NI0025","Percentage","PERSONS","Economically inactive: Long-term sick or disabled: Aged 16-74 years (Females)"
"KS603NI0026","Percentage","PERSONS","Economically inactive: Other: Aged 16-74 years (Females)"
"KS603NI0027","Percentage","PERSONS","Carried out voluntary work: Aged 16-74 years (Females)"
"KS603NI0028","Percentage","PERSONS","Unemployed: Aged 16-24 years (Females)"
"KS603NI0029","Percentage","PERSONS","Unemployed: Aged 50-74 years (Females)"
"KS603NI0030","Percentage","PERSONS","Unemployed: Never worked: Aged 16-74 years (Females)"
"KS603NI0031","Percentage","PERSONS","Long-term unemployed: Aged 16-74 years (Females)"
