GeographyCode,LC6101NI0001,LC6101NI0002,LC6101NI0003,LC6101NI0004,LC6101NI0005,LC6101NI0006,LC6101NI0007,LC6101NI0008,LC6101NI0009,LC6101NI0010,LC6101NI0011,LC6101NI0012,LC6101NI0013,LC6101NI0014,LC6101NI0015,LC6101NI0016,LC6101NI0017,LC6101NI0018,LC6101NI0019,LC6101NI0020,LC6101NI0021,LC6101NI0022,LC6101NI0023,LC6101NI0024,LC6101NI0025,LC6101NI0026,LC6101NI0027,LC6101NI0028,LC6101NI0029,LC6101NI0030,LC6101NI0031,LC6101NI0032,LC6101NI0033,LC6101NI0034,LC6101NI0035,LC6101NI0036,LC6101NI0037,LC6101NI0038,LC6101NI0039,LC6101NI0040,LC6101NI0041,LC6101NI0042,LC6101NI0043,LC6101NI0044,LC6101NI0045,LC6101NI0046,LC6101NI0047,LC6101NI0048,LC6101NI0049,LC6101NI0050,LC6101NI0051,LC6101NI0052,LC6101NI0053,LC6101NI0054,LC6101NI0055,LC6101NI0056,LC6101NI0057,LC6101NI0058,LC6101NI0059,LC6101NI0060,LC6101NI0061,LC6101NI0062,LC6101NI0063
N06000001,75141,11715,63426,9862,1924,7938,13380,2218,11162,13457,2151,11306,12911,2244,10667,9507,1473,8034,16024,1705,14319,35356,5208,30148,4861,823,4038,6419,958,5461,6639,957,5682,6255,1027,5228,4712,698,4014,6470,745,5725,39785,6507,33278,5001,1101,3900,6961,1260,5701,6818,1194,5624,6656,1217,5439,4795,775,4020,9554,960,8594
N06000002,81552,9681,71871,12721,1867,10854,14496,1802,12694,13413,1689,11724,14035,1755,12280,10448,1295,9153,16439,1273,15166,38323,4330,33993,6332,800,5532,6820,833,5987,6510,758,5752,6749,803,5946,5207,594,4613,6705,542,6163,43229,5351,37878,6389,1067,5322,7676,969,6707,6903,931,5972,7286,952,6334,5241,701,4540,9734,731,9003
N06000003,93724,18775,74949,21069,6132,14937,19443,3656,15787,14433,2318,12115,13912,2732,11180,9806,1914,7892,15061,2023,13038,45121,8428,36693,10082,2484,7598,9965,1763,8202,7342,1095,6247,6737,1287,5450,4850,910,3940,6145,889,5256,48603,10347,38256,10987,3648,7339,9478,1893,7585,7091,1223,5868,7175,1445,5730,4956,1004,3952,8916,1134,7782
N06000004,72358,7385,64973,13923,1859,12064,13285,1391,11894,11667,1285,10382,12738,1308,11430,8966,806,8160,11779,736,11043,33463,3397,30066,6988,860,6128,6135,644,5491,5347,570,4777,5830,606,5224,4309,391,3918,4854,326,4528,38895,3988,34907,6935,999,5936,7150,747,6403,6320,715,5605,6908,702,6206,4657,415,4242,6925,410,6515
N06000005,72357,11197,61160,11385,2360,9025,10022,1350,8672,12711,1961,10750,13548,2197,11351,10418,1696,8722,14273,1633,12640,34830,4994,29836,5853,1044,4809,4709,584,4125,6104,825,5279,6745,1031,5714,5144,732,4412,6275,778,5497,37527,6203,31324,5532,1316,4216,5313,766,4547,6607,1136,5471,6803,1166,5637,5274,964,4310,7998,855,7143
N06000006,79190,12132,67058,12940,2575,10365,11968,1497,10471,14203,2151,12052,13975,2371,11604,11157,1840,9317,14947,1698,13249,38713,5487,33226,6495,1060,5435,5966,707,5259,6953,980,5973,7022,1081,5941,5611,867,4744,6666,792,5874,40477,6645,33832,6445,1515,4930,6002,790,5212,7250,1171,6079,6953,1290,5663,5546,973,4573,8281,906,7375
N06000007,80237,12789,67448,12112,2166,9946,14165,1851,12314,14393,2463,11930,13881,2671,11210,11189,1991,9198,14497,1647,12850,39962,5789,34173,6348,932,5416,7153,852,6301,7286,1088,6198,7062,1227,5835,5618,930,4688,6495,760,5735,40275,7000,33275,5764,1234,4530,7012,999,6013,7107,1375,5732,6819,1444,5375,5571,1061,4510,8002,887,7115
N06000008,78383,10708,67675,13902,2585,11317,13963,1676,12287,14147,1857,12290,13939,1992,11947,10403,1404,8999,12029,1194,10835,37621,4873,32748,6860,1075,5785,6744,738,6006,6819,864,5955,6693,949,5744,5136,669,4467,5369,578,4791,40762,5835,34927,7042,1510,5532,7219,938,6281,7328,993,6335,7246,1043,6203,5267,735,4532,6660,616,6044
N06000009,80795,13034,67761,11113,2196,8917,12914,1840,11074,15043,2451,12592,14491,2616,11875,11179,1972,9207,16055,1959,14096,39257,5966,33291,5791,988,4803,6408,868,5540,7367,1055,6312,7218,1224,5994,5485,935,4550,6988,896,6092,41538,7068,34470,5322,1208,4114,6506,972,5534,7676,1396,6280,7273,1392,5881,5694,1037,4657,9067,1063,8004
N06000010,76074,10439,65635,13060,2173,10887,14189,1706,12483,14282,2009,12273,12607,2043,10564,9650,1430,8220,12286,1078,11208,37735,4844,32891,6661,865,5796,7128,835,6293,7204,939,6265,6406,1009,5397,4820,693,4127,5516,503,5013,38339,5595,32744,6399,1308,5091,7061,871,6190,7078,1070,6008,6201,1034,5167,4830,737,4093,6770,575,6195
N06000011,86877,12587,74290,14063,2485,11578,15628,2020,13608,15769,2314,13455,14933,2426,12507,11562,1781,9781,14922,1561,13361,42732,5875,36857,7327,1047,6280,7623,960,6663,7854,1096,6758,7587,1189,6398,5720,823,4897,6621,760,5861,44145,6712,37433,6736,1438,5298,8005,1060,6945,7915,1218,6697,7346,1237,6109,5842,958,4884,8301,801,7500
N06000012,86137,12690,73447,12375,2213,10162,13456,1823,11633,15726,2452,13274,14760,2530,12230,12244,1955,10289,17576,1717,15859,42118,5791,36327,6492,992,5500,6611,818,5793,7759,1075,6684,7426,1164,6262,6131,931,5200,7699,811,6888,44019,6899,37120,5883,1221,4662,6845,1005,5840,7967,1377,6590,7334,1366,5968,6113,1024,5089,9877,906,8971
N06000013,73038,12414,60624,9161,1913,7248,10589,1581,9008,12286,2016,10270,12685,2379,10306,11615,2158,9457,16702,2367,14335,34592,5450,29142,4772,834,3938,5051,686,4365,5871,820,5051,6091,1018,5073,5610,973,4637,7197,1119,6078,38446,6964,31482,4389,1079,3310,5538,895,4643,6415,1196,5219,6594,1361,5233,6005,1185,4820,9505,1248,8257
N06000014,77330,11123,66207,11224,1877,9347,13355,1755,11600,14856,2131,12725,13728,2259,11469,10744,1675,9069,13423,1426,11997,37385,4914,32471,5761,829,4932,6365,749,5616,7147,871,6276,6793,1054,5739,5286,765,4521,6033,646,5387,39945,6209,33736,5463,1048,4415,6990,1006,5984,7709,1260,6449,6935,1205,5730,5458,910,4548,7390,780,6610
N06000015,83951,13497,70454,13549,2477,11072,14027,1828,12199,15266,2523,12743,14665,2790,11875,11728,2089,9639,14716,1790,12926,41445,6139,35306,7082,1029,6053,6934,858,6076,7567,1120,6447,7407,1320,6087,5898,1002,4896,6557,810,5747,42506,7358,35148,6467,1448,5019,7093,970,6123,7699,1403,6296,7258,1470,5788,5830,1087,4743,8159,980,7179
N06000016,71638,10769,60869,9771,1841,7930,10151,1404,8747,12457,1864,10593,13410,2279,11131,11227,1781,9446,14622,1600,13022,34563,4791,29772,5027,751,4276,4897,635,4262,5995,754,5241,6498,1018,5480,5570,864,4706,6576,769,5807,37075,5978,31097,4744,1090,3654,5254,769,4485,6462,1110,5352,6912,1261,5651,5657,917,4740,8046,831,7215
N06000017,92049,12360,79689,14238,2431,11807,16923,1940,14983,16980,2240,14740,15917,2350,13567,11924,1742,10182,16067,1657,14410,44718,5664,39054,7319,1033,6286,8205,872,7333,8460,1050,7410,7937,1135,6802,5880,787,5093,6917,787,6130,47331,6696,40635,6919,1398,5521,8718,1068,7650,8520,1190,7330,7980,1215,6765,6044,955,5089,9150,870,8280
N06000018,70709,10556,60153,11166,2210,8956,11984,1477,10507,13019,1920,11099,12443,2246,10197,9795,1490,8305,12302,1213,11089,34997,4845,30152,5738,936,4802,5872,658,5214,6466,871,5595,6371,1080,5291,4995,729,4266,5555,571,4984,35712,5711,30001,5428,1274,4154,6112,819,5293,6553,1049,5504,6072,1166,4906,4800,761,4039,6747,642,6105
