GeographyCode,DC4403NI0001,DC4403NI0002,DC4403NI0003,DC4403NI0004,DC4403NI0005,DC4403NI0006,DC4403NI0007,DC4403NI0008,DC4403NI0009,DC4403NI0010,DC4403NI0011,DC4403NI0012,DC4403NI0013,DC4403NI0014,DC4403NI0015,DC4403NI0016,DC4403NI0017,DC4403NI0018,DC4403NI0019,DC4403NI0020,DC4403NI0021,DC4403NI0022,DC4403NI0023,DC4403NI0024,DC4403NI0025,DC4403NI0026,DC4403NI0027,DC4403NI0028,DC4403NI0029,DC4403NI0030,DC4403NI0031,DC4403NI0032,DC4403NI0033,DC4403NI0034,DC4403NI0035,DC4403NI0036,DC4403NI0037,DC4403NI0038,DC4403NI0039,DC4403NI0040,DC4403NI0041,DC4403NI0042,DC4403NI0043,DC4403NI0044,DC4403NI0045,DC4403NI0046,DC4403NI0047,DC4403NI0048,DC4403NI0049,DC4403NI0050,DC4403NI0051,DC4403NI0052,DC4403NI0053,DC4403NI0054,DC4403NI0055,DC4403NI0056,DC4403NI0057,DC4403NI0058,DC4403NI0059,DC4403NI0060,DC4403NI0061,DC4403NI0062,DC4403NI0063,DC4403NI0064,DC4403NI0065,DC4403NI0066,DC4403NI0067,DC4403NI0068,DC4403NI0069,DC4403NI0070,DC4403NI0071,DC4403NI0072,DC4403NI0073,DC4403NI0074,DC4403NI0075,DC4403NI0076,DC4403NI0077,DC4403NI0078,DC4403NI0079,DC4403NI0080,DC4403NI0081,DC4403NI0082,DC4403NI0083,DC4403NI0084,DC4403NI0085,DC4403NI0086,DC4403NI0087,DC4403NI0088,DC4403NI0089,DC4403NI0090,DC4403NI0091,DC4403NI0092,DC4403NI0093,DC4403NI0094,DC4403NI0095,DC4403NI0096,DC4403NI0097,DC4403NI0098,DC4403NI0099,DC4403NI0100,DC4403NI0101,DC4403NI0102,DC4403NI0103,DC4403NI0104,DC4403NI0105,DC4403NI0106,DC4403NI0107,DC4403NI0108,DC4403NI0109,DC4403NI0110,DC4403NI0111,DC4403NI0112,DC4403NI0113,DC4403NI0114,DC4403NI0115,DC4403NI0116,DC4403NI0117,DC4403NI0118,DC4403NI0119,DC4403NI0120,DC4403NI0121,DC4403NI0122,DC4403NI0123,DC4403NI0124,DC4403NI0125,DC4403NI0126,DC4403NI0127,DC4403NI0128,DC4403NI0129,DC4403NI0130,DC4403NI0131,DC4403NI0132
95AA01,4290,1070,1877,1,28,28,351,629,35,201,70,4290,1070,1877,1,28,28,351,629,35,201,70,4155,1051,1828,1,21,28,299,627,34,199,67,2567,875,1330,0,6,4,107,133,16,57,39,1112,97,222,1,9,24,120,479,7,138,15,476,79,276,0,6,0,72,15,11,4,13,125,16,46,0,5,0,52,2,1,2,1,116,16,46,0,5,0,47,2,0,0,0,9,0,0,0,0,0,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
95AA02,1734,481,667,8,223,8,290,0,19,2,36,1734,481,667,8,223,8,290,0,19,2,36,1474,452,634,7,127,7,201,0,14,0,32,209,64,111,0,4,0,22,0,0,0,8,211,43,98,2,20,3,37,0,4,0,4,1054,345,425,5,103,4,142,0,10,0,20,260,29,33,1,96,1,89,0,5,2,4,256,28,33,1,96,1,86,0,5,2,4,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03,1822,396,719,17,408,11,225,11,16,0,19,1822,396,719,17,408,11,225,11,16,0,19,1776,395,714,17,389,10,205,11,16,0,19,205,39,116,0,27,0,19,0,1,0,3,356,87,136,1,64,9,53,3,0,0,3,1215,269,462,16,298,1,133,8,15,0,13,46,1,5,0,19,1,20,0,0,0,0,40,1,1,0,18,1,19,0,0,0,0,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04,3002,1233,1550,8,13,0,126,0,22,0,50,3002,1233,1550,8,13,0,126,0,22,0,50,2948,1202,1538,5,11,0,122,0,22,0,48,2583,1090,1363,1,0,0,66,0,17,0,46,233,69,118,1,1,0,42,0,0,0,2,132,43,57,3,10,0,14,0,5,0,0,16,3,4,3,2,0,2,0,0,0,2,16,3,4,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA05,2654,912,1308,9,132,0,200,8,29,14,42,2654,912,1308,9,132,0,200,8,29,14,42,2620,907,1301,9,126,0,184,8,29,14,42,1622,669,811,1,8,0,81,0,15,4,33,863,219,448,8,65,0,93,0,14,10,6,135,19,42,0,53,0,10,8,0,0,3,29,0,7,0,6,0,16,0,0,0,0,19,0,3,0,6,0,10,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06,4604,680,3105,40,192,137,307,17,62,21,43,4604,680,3105,40,192,137,307,17,62,21,43,4456,672,3081,35,167,93,287,10,58,18,35,2117,348,1632,4,11,12,88,0,9,6,7,1600,227,1086,25,60,12,123,10,33,12,12,739,97,363,6,96,69,76,0,16,0,16,148,8,24,5,25,44,20,7,4,3,8,129,6,21,3,25,44,10,7,2,3,8,4,1,1,0,0,0,2,0,0,0,0,15,1,2,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA07,2119,802,876,2,145,1,214,10,25,7,37,2119,802,876,2,145,1,214,10,25,7,37,2085,796,871,2,134,1,203,10,25,7,36,1291,580,587,0,8,0,80,4,8,0,24,292,103,81,0,58,0,30,6,2,7,5,502,113,203,2,68,1,93,0,15,0,7,29,1,5,0,11,0,11,0,0,0,1,29,1,5,0,11,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA08,1676,339,655,27,386,3,228,0,8,0,30,1676,339,655,27,386,3,228,0,8,0,30,1636,334,655,27,372,3,209,0,8,0,28,180,44,89,1,27,3,4,0,1,0,11,268,67,94,1,36,0,63,0,1,0,6,1188,223,472,25,309,0,142,0,6,0,11,40,5,0,0,14,0,19,0,0,0,2,40,5,0,0,14,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA09,2143,503,741,4,553,4,285,0,9,0,44,2143,503,741,4,553,4,285,0,9,0,44,1971,490,734,4,435,4,260,0,9,0,35,621,299,258,0,12,0,38,0,0,0,14,177,27,80,0,38,2,24,0,1,0,5,1173,164,396,4,385,2,198,0,8,0,16,171,13,7,0,117,0,25,0,0,0,9,163,10,7,0,113,0,24,0,0,0,9,8,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA10,1953,515,778,11,446,10,144,0,11,1,37,1953,515,778,11,446,10,144,0,11,1,37,1846,507,773,11,363,10,140,0,11,1,30,585,262,278,0,8,1,21,0,2,1,12,649,180,315,9,74,7,50,0,8,0,6,612,65,180,2,281,2,69,0,1,0,12,107,8,5,0,83,0,4,0,0,0,7,102,5,5,0,81,0,4,0,0,0,7,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA11,5129,1022,3091,25,128,53,693,7,31,9,70,5129,1022,3091,25,128,53,693,7,31,9,70,4943,1008,3064,25,112,26,597,7,28,6,70,2219,621,1415,0,14,0,129,7,3,0,30,1674,213,1138,8,19,15,253,0,15,0,13,1050,174,511,17,79,11,215,0,10,6,27,186,14,27,0,16,27,96,0,3,3,0,161,9,25,0,13,25,83,0,3,3,0,17,0,1,0,3,0,13,0,0,0,0,8,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA12,2775,1090,1401,1,37,34,128,0,16,0,68,2775,1090,1401,1,37,34,128,0,16,0,68,2767,1088,1401,1,37,34,123,0,16,0,67,2344,1003,1198,0,2,0,84,0,9,0,48,310,70,155,0,12,25,26,0,5,0,17,113,15,48,1,23,9,13,0,2,0,2,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95AA13,3268,787,1656,10,82,102,514,0,48,12,57,3266,787,1656,10,82,102,512,0,48,12,57,3118,775,1649,10,67,77,433,0,46,5,56,1460,442,861,2,2,12,97,0,22,2,20,1256,231,672,7,24,51,236,0,20,1,14,402,102,116,1,41,14,100,0,4,2,22,148,12,7,0,15,25,79,0,2,7,1,93,4,5,0,11,25,43,0,2,2,1,25,4,2,0,4,0,10,0,0,5,0,30,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
95AA14,2302,1096,1010,4,7,1,111,0,12,10,51,2302,1096,1010,4,7,1,111,0,12,10,51,2288,1084,1010,4,7,0,111,0,12,10,50,2139,1006,969,4,0,0,97,0,11,5,47,105,57,29,0,4,0,9,0,1,5,0,44,21,12,0,3,0,5,0,0,0,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA15,4102,497,2123,53,588,2,744,11,38,1,45,4102,497,2123,53,588,2,744,11,38,1,45,3850,481,2074,47,496,2,665,11,33,1,40,772,132,502,3,29,0,93,5,2,1,5,1696,263,907,35,111,0,357,1,13,0,9,1382,86,665,9,356,2,215,5,18,0,26,252,16,49,6,92,0,79,0,5,0,5,236,16,49,6,91,0,67,0,2,0,5,16,0,0,0,1,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA16,1807,327,676,25,370,8,342,5,14,4,36,1807,327,676,25,370,8,342,5,14,4,36,1594,318,651,25,251,7,289,5,14,4,30,138,23,51,0,25,0,34,0,0,0,5,327,72,124,4,34,7,77,0,4,0,5,1129,223,476,21,192,0,178,5,10,4,20,213,9,25,0,119,1,53,0,0,0,6,204,9,25,0,119,1,44,0,0,0,6,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA17,2142,404,1128,35,308,18,207,2,10,3,27,2142,404,1128,35,308,18,207,2,10,3,27,2068,401,1126,35,267,0,200,2,10,2,25,402,128,219,4,19,0,22,0,4,2,4,856,154,544,19,26,0,101,2,4,0,6,810,119,363,12,222,0,77,0,2,0,15,74,3,2,0,41,18,7,0,0,1,2,68,3,2,0,39,16,6,0,0,1,1,6,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA18,2373,1100,940,4,28,3,232,5,23,2,36,2373,1100,940,4,28,3,232,5,23,2,36,2240,1081,921,3,28,2,148,4,19,0,34,1576,890,599,0,0,2,58,0,5,0,22,368,106,191,3,3,0,49,4,7,0,5,296,85,131,0,25,0,41,0,7,0,7,133,19,19,1,0,1,84,1,4,2,2,119,19,15,1,0,1,77,0,2,2,2,8,0,4,0,0,0,1,1,2,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA19,2645,1007,1033,1,241,33,224,12,41,7,46,2645,1007,1033,1,241,33,224,12,41,7,46,2610,996,1031,1,239,33,216,0,41,7,46,1769,833,774,1,20,2,94,0,13,2,30,556,119,184,0,98,31,106,0,12,2,4,285,44,73,0,121,0,16,0,16,3,12,23,1,0,0,2,0,8,12,0,0,0,22,0,0,0,2,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB01,3609,1133,2124,7,140,3,139,0,9,6,48,3609,1133,2124,7,140,3,139,0,9,6,48,3554,1118,2103,7,138,2,124,0,9,6,47,1792,649,1060,0,9,0,41,0,4,0,29,1259,333,788,4,61,0,51,0,4,6,12,503,136,255,3,68,2,32,0,1,0,6,55,15,21,0,2,1,15,0,0,0,1,43,4,21,0,2,1,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB02,2334,648,693,34,474,116,219,9,43,17,81,2334,648,693,34,474,116,219,9,43,17,81,1859,611,629,30,257,56,175,9,41,8,43,513,241,206,0,11,6,28,9,1,4,7,792,241,262,8,131,28,79,0,12,3,28,554,129,161,22,115,22,68,0,28,1,8,475,37,64,4,217,60,44,0,2,9,38,453,34,63,4,211,60,37,0,2,6,36,22,3,1,0,6,0,7,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB03,4217,1326,1770,57,379,70,459,7,49,8,92,4217,1326,1770,57,379,70,459,7,49,8,92,4078,1249,1768,57,366,50,439,7,49,8,85,2012,861,941,1,31,5,112,2,9,2,48,1048,186,447,34,118,31,187,0,18,6,21,1018,202,380,22,217,14,140,5,22,0,16,65,5,2,0,13,20,20,0,0,0,5,47,5,2,0,13,20,2,0,0,0,5,8,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,74,72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
95BB04,3009,1222,1220,18,159,45,250,0,18,13,64,3009,1222,1220,18,159,45,250,0,18,13,64,2915,1213,1209,18,137,9,237,0,18,11,63,1502,716,683,5,7,0,47,0,4,3,37,846,347,320,8,37,6,100,0,6,8,14,567,150,206,5,93,3,90,0,8,0,12,94,9,11,0,22,36,13,0,0,2,1,79,9,8,0,22,36,1,0,0,2,1,9,0,0,0,0,0,9,0,0,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB05,3401,1167,1589,17,195,30,299,0,23,1,80,3401,1167,1589,17,195,30,299,0,23,1,80,3372,1165,1583,17,195,30,280,0,23,1,78,2150,948,979,0,33,3,139,0,2,0,46,641,137,301,12,71,23,68,0,10,1,18,581,80,303,5,91,4,73,0,11,0,14,29,2,6,0,0,0,19,0,0,0,2,16,2,2,0,0,0,11,0,0,0,1,12,0,4,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB06,2870,625,800,42,498,178,612,2,38,2,73,2870,625,800,42,498,178,612,2,38,2,73,2244,578,721,29,350,72,412,0,27,0,55,167,26,62,0,20,16,28,0,1,0,14,515,159,182,0,53,19,86,0,4,0,12,1562,393,477,29,277,37,298,0,22,0,29,626,47,79,13,148,106,200,2,11,2,18,574,35,70,9,144,104,184,2,10,2,14,24,1,6,4,1,2,10,0,0,0,0,28,11,3,0,3,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB07,2896,842,1025,19,278,258,361,7,17,6,83,2896,842,1025,19,278,258,361,7,17,6,83,2640,816,981,19,274,164,285,7,14,4,76,803,397,317,0,10,3,46,0,8,0,22,961,241,376,7,94,124,85,1,2,4,27,876,178,288,12,170,37,154,6,4,0,27,254,24,44,0,4,94,76,0,3,2,7,218,21,32,0,4,92,59,0,1,2,7,20,3,2,0,0,1,12,0,2,0,0,16,0,10,0,0,1,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB08,2625,619,1236,30,411,5,220,2,20,0,82,2625,619,1236,30,411,5,220,2,20,0,82,2589,618,1230,30,395,5,210,2,20,0,79,464,156,235,1,20,0,38,0,7,0,7,1552,335,706,20,291,5,133,2,7,0,53,573,127,289,9,84,0,39,0,6,0,19,36,1,6,0,16,0,10,0,0,0,3,33,1,6,0,16,0,7,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB09,2909,1069,1365,6,41,21,337,15,19,0,36,2909,1069,1365,6,41,21,337,15,19,0,36,2780,1045,1311,6,41,7,308,15,15,0,32,1371,659,659,1,0,0,32,2,4,0,14,868,276,472,1,10,4,82,7,5,0,11,541,110,180,4,31,3,194,6,6,0,7,127,24,54,0,0,14,29,0,4,0,2,103,18,41,0,0,14,26,0,2,0,2,24,6,13,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
95BB10,3278,1177,1308,15,225,67,397,4,29,3,53,3278,1177,1308,15,225,67,397,4,29,3,53,2916,1101,1268,10,170,2,301,3,17,3,41,1533,733,692,0,9,0,78,0,2,3,16,469,124,238,2,47,0,55,0,0,0,3,914,244,338,8,114,2,168,3,15,0,22,361,76,39,5,55,65,96,1,12,0,12,324,69,37,5,55,63,71,1,12,0,11,17,2,0,0,0,2,13,0,0,0,0,20,5,2,0,0,0,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB11,2903,795,1328,24,450,54,184,2,18,2,46,2903,795,1328,24,450,54,184,2,18,2,46,2738,764,1321,24,346,48,177,0,16,0,42,775,317,419,3,9,0,18,0,1,0,8,956,268,463,0,106,34,63,0,4,0,18,1007,179,439,21,231,14,96,0,11,0,16,165,31,7,0,104,6,7,2,2,2,4,164,30,7,0,104,6,7,2,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB12,2776,760,978,27,622,44,263,8,25,1,48,2776,760,978,27,622,44,263,8,25,1,48,2687,760,967,26,600,42,210,8,25,1,48,1116,501,520,3,32,0,21,4,9,0,26,285,64,90,6,66,13,37,0,2,0,7,1286,195,357,17,502,29,152,4,14,1,15,89,0,11,1,22,2,53,0,0,0,0,75,0,10,1,15,1,48,0,0,0,0,13,0,1,0,7,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB13,4438,1115,2234,46,609,71,262,7,17,7,70,4438,1115,2234,46,609,71,262,7,17,7,70,4374,1112,2215,41,586,71,252,7,17,4,69,1629,553,977,0,19,0,63,5,0,0,12,1863,415,939,27,283,47,105,2,10,4,31,882,144,299,14,284,24,84,0,7,0,26,64,3,19,5,23,0,10,0,0,3,1,53,3,15,5,21,0,9,0,0,0,0,9,0,4,0,0,0,1,0,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB14,3088,1232,1505,6,80,3,198,4,13,0,47,3088,1232,1505,6,80,3,198,4,13,0,47,3078,1227,1505,6,80,3,195,4,11,0,47,2422,1074,1156,0,11,0,137,4,10,0,30,339,83,187,4,30,3,24,0,1,0,7,317,70,162,2,39,0,34,0,0,0,10,8,3,0,0,0,0,3,0,2,0,0,6,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB15,3489,1103,1607,9,261,2,402,0,46,3,56,3489,1103,1607,9,261,2,402,0,46,3,56,3460,1093,1595,9,260,2,397,0,46,3,55,2025,808,1028,0,25,0,104,0,26,1,33,728,133,335,5,125,2,104,0,6,0,18,707,152,232,4,110,0,189,0,14,2,4,19,5,8,0,1,0,5,0,0,0,0,8,1,2,0,1,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,1,0,0,0,0,10,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95BB16,3133,1478,1358,16,57,3,175,4,20,0,22,3133,1478,1358,16,57,3,175,4,20,0,22,3118,1471,1354,16,55,3,175,4,20,0,20,2517,1276,1089,8,5,3,114,0,8,0,14,393,139,194,2,21,0,21,0,10,0,6,208,56,71,6,29,0,40,4,2,0,0,15,7,4,0,2,0,0,0,0,0,2,5,3,0,0,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB17,3535,852,1810,62,440,12,308,0,18,0,33,3535,852,1810,62,440,12,308,0,18,0,33,3506,850,1806,60,431,12,296,0,18,0,33,1092,507,477,0,30,0,60,0,4,0,14,1630,278,998,44,129,10,147,0,14,0,10,784,65,331,16,272,2,89,0,0,0,9,29,2,4,2,9,0,12,0,0,0,0,21,0,3,2,9,0,7,0,0,0,0,7,2,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB18,4212,1129,2298,14,245,42,409,0,22,5,48,4212,1129,2298,14,245,42,409,0,22,5,48,4163,1119,2292,14,234,35,398,0,21,5,45,1992,628,1183,1,25,0,116,0,13,2,24,1491,375,841,8,71,20,158,0,4,0,14,680,116,268,5,138,15,124,0,4,3,7,47,9,6,0,11,7,11,0,1,0,2,31,6,3,0,10,7,3,0,0,0,2,9,3,2,0,1,0,2,0,1,0,0,7,0,1,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95BB19,4725,1111,3110,32,109,3,290,0,45,0,25,4725,1111,3110,32,109,3,290,0,45,0,25,4659,1104,3102,29,86,3,268,0,42,0,25,1985,618,1246,8,11,0,84,0,4,0,14,2271,405,1643,18,20,3,148,0,27,0,7,403,81,213,3,55,0,36,0,11,0,4,66,7,8,3,23,0,22,0,3,0,0,64,5,8,3,23,0,22,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB20,3368,975,1497,9,331,59,378,0,38,3,78,3368,975,1497,9,331,59,378,0,38,3,78,3301,962,1493,9,320,50,360,0,34,3,70,1343,527,606,1,44,8,133,0,4,1,19,834,123,474,8,81,15,99,0,12,2,20,1124,312,413,0,195,27,128,0,18,0,31,67,13,4,0,11,9,18,0,4,0,8,47,10,2,0,11,9,5,0,2,0,8,3,0,0,0,0,0,1,0,2,0,0,17,3,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB21,4699,1339,2557,36,203,20,411,5,57,5,66,4699,1339,2557,36,203,20,411,5,57,5,66,4620,1316,2540,36,189,20,387,5,56,5,66,2463,858,1394,6,13,7,122,5,25,3,30,1471,299,878,21,60,7,171,0,17,0,18,686,159,268,9,116,6,94,0,14,2,18,76,20,17,0,14,0,24,0,1,0,0,71,20,16,0,13,0,21,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB22,2993,356,1406,23,887,36,221,0,13,0,51,2993,356,1406,23,887,36,221,0,13,0,51,2702,350,1391,23,649,27,203,0,12,0,47,468,94,289,0,51,0,17,0,0,0,17,957,105,605,5,143,4,74,0,9,0,12,1277,151,497,18,455,23,112,0,3,0,18,291,6,15,0,238,9,18,0,1,0,4,291,6,15,0,238,9,18,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB23,2976,1195,1491,17,24,5,215,0,10,1,18,2976,1195,1491,17,24,5,215,0,10,1,18,2953,1191,1486,17,22,5,204,0,10,0,18,1795,833,861,0,0,0,88,0,3,0,10,1040,327,589,17,4,0,92,0,3,0,8,118,31,36,0,18,5,24,0,4,0,0,23,4,5,0,2,0,11,0,0,1,0,22,4,5,0,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95CC01,2376,586,1051,6,172,0,508,0,17,12,24,2376,586,1051,6,172,0,508,0,17,12,24,2246,563,1036,2,129,0,470,0,15,10,21,803,235,431,0,5,0,120,0,2,3,7,738,116,355,2,42,0,203,0,6,6,8,705,212,250,0,82,0,147,0,7,1,6,130,23,15,4,43,0,38,0,2,2,3,107,17,8,4,43,0,30,0,2,0,3,12,0,2,0,0,0,8,0,0,2,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95CC02,2693,1169,1195,0,37,38,156,3,47,3,45,2693,1169,1195,0,37,38,156,3,47,3,45,2682,1159,1195,0,37,38,156,3,46,3,45,2301,1057,1043,0,5,5,110,3,31,2,45,320,80,143,0,14,31,38,0,14,0,0,61,22,9,0,18,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95CC03,2791,402,825,19,580,74,762,3,22,40,64,2791,402,825,19,580,74,762,3,22,40,64,2507,387,810,10,515,21,650,0,22,34,58,468,124,172,3,47,5,87,0,4,10,16,913,67,298,7,137,3,362,0,9,23,7,1126,196,340,0,331,13,201,0,9,1,35,284,15,15,9,65,53,112,3,0,6,6,229,12,14,9,65,46,77,0,0,1,5,36,0,0,0,0,7,27,0,0,1,1,19,3,1,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95CC04,2384,986,1065,0,96,0,168,3,28,0,38,2384,986,1065,0,96,0,168,3,28,0,38,2369,980,1060,0,96,0,166,3,26,0,38,1877,846,906,0,6,0,76,3,14,0,26,256,53,103,0,25,0,63,0,4,0,8,236,81,51,0,65,0,27,0,8,0,4,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
