GeographyCode,DC2247NI0001,DC2247NI0002,DC2247NI0003,DC2247NI0004,DC2247NI0005,DC2247NI0006,DC2247NI0007,DC2247NI0008,DC2247NI0009,DC2247NI0010,DC2247NI0011,DC2247NI0012,DC2247NI0013,DC2247NI0014,DC2247NI0015,DC2247NI0016,DC2247NI0017,DC2247NI0018,DC2247NI0019,DC2247NI0020,DC2247NI0021,DC2247NI0022,DC2247NI0023,DC2247NI0024,DC2247NI0025,DC2247NI0026,DC2247NI0027,DC2247NI0028,DC2247NI0029,DC2247NI0030,DC2247NI0031,DC2247NI0032,DC2247NI0033,DC2247NI0034,DC2247NI0035,DC2247NI0036,DC2247NI0037,DC2247NI0038,DC2247NI0039,DC2247NI0040,DC2247NI0041,DC2247NI0042,DC2247NI0043,DC2247NI0044,DC2247NI0045,DC2247NI0046,DC2247NI0047,DC2247NI0048,DC2247NI0049,DC2247NI0050,DC2247NI0051,DC2247NI0052,DC2247NI0053,DC2247NI0054,DC2247NI0055,DC2247NI0056,DC2247NI0057,DC2247NI0058,DC2247NI0059,DC2247NI0060,DC2247NI0061,DC2247NI0062,DC2247NI0063,DC2247NI0064,DC2247NI0065,DC2247NI0066,DC2247NI0067,DC2247NI0068,DC2247NI0069,DC2247NI0070,DC2247NI0071,DC2247NI0072,DC2247NI0073,DC2247NI0074,DC2247NI0075,DC2247NI0076,DC2247NI0077,DC2247NI0078,DC2247NI0079,DC2247NI0080,DC2247NI0081,DC2247NI0082,DC2247NI0083,DC2247NI0084,DC2247NI0085,DC2247NI0086,DC2247NI0087,DC2247NI0088,DC2247NI0089,DC2247NI0090,DC2247NI0091,DC2247NI0092,DC2247NI0093,DC2247NI0094,DC2247NI0095,DC2247NI0096,DC2247NI0097,DC2247NI0098,DC2247NI0099,DC2247NI0100,DC2247NI0101,DC2247NI0102,DC2247NI0103,DC2247NI0104,DC2247NI0105,DC2247NI0106,DC2247NI0107,DC2247NI0108,DC2247NI0109,DC2247NI0110,DC2247NI0111,DC2247NI0112,DC2247NI0113,DC2247NI0114,DC2247NI0115,DC2247NI0116,DC2247NI0117,DC2247NI0118,DC2247NI0119,DC2247NI0120,DC2247NI0121,DC2247NI0122,DC2247NI0123,DC2247NI0124,DC2247NI0125,DC2247NI0126,DC2247NI0127,DC2247NI0128,DC2247NI0129,DC2247NI0130,DC2247NI0131,DC2247NI0132,DC2247NI0133,DC2247NI0134,DC2247NI0135,DC2247NI0136,DC2247NI0137,DC2247NI0138,DC2247NI0139,DC2247NI0140,DC2247NI0141,DC2247NI0142,DC2247NI0143,DC2247NI0144,DC2247NI0145,DC2247NI0146,DC2247NI0147,DC2247NI0148,DC2247NI0149,DC2247NI0150,DC2247NI0151,DC2247NI0152,DC2247NI0153,DC2247NI0154,DC2247NI0155,DC2247NI0156,DC2247NI0157,DC2247NI0158,DC2247NI0159,DC2247NI0160
95AA01,4444,1356,1971,921,441,82,527,43,887,187,4320,1340,1921,913,438,74,496,13,862,184,4319,1340,1921,913,438,74,496,13,861,184,1,0,0,0,0,0,0,0,1,0,29,2,1,0,1,0,0,19,6,1,3,0,0,0,0,0,0,0,3,0,6,1,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,1,0,0,6,3,1,66,8,40,6,1,8,25,8,9,1,12,3,6,0,0,0,6,0,3,0,28,2,16,6,0,3,7,8,2,0,26,3,18,0,1,5,12,0,4,1,21,4,8,2,1,0,5,2,6,1,8,2,1,0,0,0,1,1,4,0
95AA02,1734,504,888,461,348,20,59,6,204,132,1715,495,887,460,348,20,59,3,198,132,1714,494,887,460,348,20,59,3,198,132,1,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,4,0,4,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,1,0,5,3,1,1,0,0,0,0,1,0
95AA03,1822,135,1222,684,378,50,110,15,315,135,1794,132,1213,680,374,50,109,7,308,134,1794,132,1213,680,374,50,109,7,308,134,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,1,6,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,1,2,1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,7,3,4,0,0,0,4,0,3,1,0,0,0,0,0,2,0,0
95AA04,3013,751,1772,1198,317,64,193,19,343,128,2989,745,1767,1198,312,64,193,12,337,128,2989,745,1767,1198,312,64,193,12,337,128,0,0,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10,3,1,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0
95AA05,2701,1579,757,482,157,8,110,10,178,177,2681,1570,754,481,156,8,109,10,173,174,2680,1570,754,481,156,8,109,10,172,174,1,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,4,1,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,8,3,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
95AA06,4647,3511,584,240,262,13,69,9,222,321,4593,3474,578,238,261,13,66,8,212,321,4592,3474,578,238,261,13,66,8,211,321,1,0,0,0,0,0,0,0,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,11,1,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,1,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,21,3,0,1,0,2,0,2,0,4,2,1,0,0,0,1,1,0,0
95AA07,2140,283,1553,1042,300,10,201,16,189,99,2130,282,1552,1042,299,10,201,16,181,99,2130,282,1552,1042,299,10,201,16,181,99,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0
95AA08,1698,680,623,353,192,12,66,13,247,135,1674,670,619,350,191,12,66,9,242,134,1674,670,619,350,191,12,66,9,242,134,0,0,0,0,0,0,0,0,0,0,18,9,2,1,1,0,0,3,3,1,6,1,2,1,1,0,0,0,3,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
95AA09,2220,387,1244,669,410,47,118,26,346,217,2117,371,1227,663,404,45,115,2,305,212,2117,371,1227,663,404,45,115,2,305,212,0,0,0,0,0,0,0,0,0,0,87,15,7,1,4,1,1,24,37,4,38,1,2,0,1,0,1,1,33,1,37,14,4,0,3,1,0,12,4,3,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,14,0,9,5,2,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0
95AA10,1953,712,810,437,224,54,95,23,292,116,1902,709,797,432,224,54,87,7,274,115,1902,709,797,432,224,54,87,7,274,115,0,0,0,0,0,0,0,0,0,0,36,2,3,2,0,0,1,15,16,0,25,2,0,0,0,0,0,7,16,0,9,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,1,6,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,4,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
